Laboratorio 1,Laboratorio 2,Laboratorio 3,Laboratorio 4,Laboratorio 5,Laboratorio 6,Time
248.01,218.73,292.71,230.95,287.36,285.48,00:00
244.15,214.81,284.22,226.57,282.96,270.24,01:00
244.67,213.09,291.91,226.94,291.09,279.38,02:00
247.17,216.61,284.26,230.41,284.58,278.5,03:00
243.07,215.38,290.85,227.18,284.46,289.2,04:00
245.08,216.28,326.09,230.46,311.2,307.05,05:00
292.53,265.4,350.05,269.35,363.99,350.94,06:00
423.65,398.25,572.33,414.75,582,680.16,07:00
774.5,623.74,914.57,633.49,947.38,1145,08:00
723.14,622.1,902.59,635.84,928.71,1137.3,09:00
750.37,641.04,909.32,651.06,910.09,1118.2,10:00
733.17,632.91,881.44,644.83,892.43,1098.9,11:00
714.34,620.22,882.76,635.85,878.21,1105.7,12:00
626.1,496.75,572.54,534.27,700.62,931.26,13:00
824.28,528.15,875.99,563.66,970.35,1144,14:00
1050.1,804.18,1189.5,580.98,1250.6,1384.3,15:00
1020.1,790.23,1158.2,595.9,1188.9,1325.3,16:00
999.79,762.67,1147,591.8,1195.5,1341.9,17:00
1245.5,1159.4,1430.7,722.52,1375.3,1650.2,18:00
558.69,352.22,682.05,369.73,647.18,606.84,19:00
252.38,215.67,315.82,233.08,355.73,291.02,20:00
251.14,217.3,323.41,232.36,352.01,280.05,21:00
253.16,215.19,300.68,232.76,346.12,274.01,22:00
264.52,226.28,290.67,244.43,303.2,269.18,23:00
