Laboratorio 1,Laboratorio 2,Laboratorio 3,Laboratorio 4,Laboratorio 5,Laboratorio 6,Time
1.4118,1.2452,1.6663,1.3147,1.6358,1.6251,00:00
1.3948,1.2272,1.6238,1.2944,1.6166,1.5439,01:00
1.3981,1.2177,1.6681,1.2968,1.6634,1.5965,02:00
1.4068,1.2329,1.6179,1.3114,1.6198,1.5851,03:00
1.3939,1.2352,1.668,1.3028,1.6314,1.6585,04:00
1.4119,1.2461,1.8787,1.3277,1.7929,1.769,05:00
1.5965,1.4484,1.9104,1.4699,1.9864,1.9153,06:00
2.0215,1.9003,2.7309,1.979,2.777,3.2454,07:00
3.1995,2.5767,3.7781,2.617,3.9136,4.7301,08:00
2.9693,2.5544,3.7062,2.6109,3.8134,4.6699,09:00
3.0504,2.6059,3.6966,2.6467,3.6997,4.5456,10:00
2.9864,2.578,3.5903,2.6265,3.6351,4.4759,11:00
2.9345,2.5479,3.6264,2.6121,3.6077,4.5422,12:00
2.7556,2.1863,2.5199,2.3515,3.0837,4.0988,13:00
3.6745,2.3544,3.9051,2.5127,4.3257,5.0998,14:00
4.8176,3.6895,5.4575,2.6655,5.7375,6.3509,15:00
4.5749,3.5439,5.1942,2.6724,5.3317,5.9436,16:00
4.4897,3.4249,5.1505,2.6575,5.3684,6.0259,17:00
5.2619,4.8979,6.0441,3.0524,5.81,6.9714,18:00
2.9109,1.8351,3.5536,1.9264,3.3719,3.1617,19:00
1.4666,1.2533,1.8353,1.3545,2.0672,1.6912,20:00
1.4583,1.2618,1.878,1.3493,2.0441,1.6262,21:00
1.4615,1.2423,1.7358,1.3437,1.9982,1.5818,22:00
1.4592,1.2482,1.6034,1.3483,1.6725,1.4848,23:00
