Laboratorio 1,Laboratorio 2,Laboratorio 3,Laboratorio 4,Laboratorio 5,Laboratorio 6,Time
1.2835,1.2835,1.2835,1.2835,1.2835,1.2835,0:00
1.268,1.268,1.268,1.268,1.268,1.268,1:00
1.271,1.271,1.271,1.271,1.271,1.271,2:00
1.2789,1.2789,1.2789,1.2789,1.2789,1.2789,3:00
1.2672,1.2672,1.2672,1.2672,1.2672,1.2672,4:00
1.2836,1.2836,1.2836,1.2836,1.2836,1.2836,5:00
1.7738,1.7738,1.7738,1.7738,1.7738,1.7738,6:00
3.3691,3.3691,3.3691,3.3691,3.3691,3.3691,7:00
4.4831,4.4831,4.4831,4.4831,4.4831,4.4831,8:00
4.4364,4.4364,4.4364,4.4364,4.4364,4.4364,9:00
4.5135,4.5135,4.5135,4.5135,4.5135,4.5135,10:00
4.4823,4.4823,4.4823,4.4823,4.4823,4.4823,11:00
4.4225,4.4225,4.4225,4.4225,4.4225,4.4225,12:00
4.0311,4.0311,4.0311,4.0311,4.0311,4.0311,13:00
4.2784,4.2784,4.2784,4.2784,4.2784,4.2784,14:00
4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,15:00
4.5512,4.5512,4.5512,4.5512,4.5512,4.5512,16:00
4.5167,4.5167,4.5167,4.5167,4.5167,4.5167,17:00
3.3739,3.3739,3.3739,3.3739,3.3739,3.3739,18:00
1.8336,1.8336,1.8336,1.8336,1.8336,1.8336,19:00
1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,20:00
1.3258,1.3258,1.3258,1.3258,1.3258,1.3258,21:00
1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,22:00
1.3265,1.3265,1.3265,1.3265,1.3265,1.3265,23:00
