Load 1,Load 2,Load 3,Load 4,Load 5,Load 6,Load 7,Load 8,Load 9,Load 10,Load 11,Load 12,Load 13,Load 14,Load 15,Load 16,Load 17,Load 18,Load 19,Load 20,Load 21,Load 22,Load 23,Load 24,Load 25,Load 26,Load 27,Load 28,Load 29,Load 30,Load 31,Load 32,Load 33,Load 34,Load 35,Load 36,Time
34.432,46.006,22.926,49.674,52.764,42.214,12.374,49.752,41.702,32.743,29.08,53.086,38.486,52.295,47.245,32.729,64.256,57.7,44.959,13.879,56.989,21.388,46.082,47.655,57.395,11.445,33.709,63.218,60.273,61.324,54.62,24.543,56.286,46.762,45.748,57.521,0:00
40.533,45.3,48.252,52.865,55.111,2.0925,26.107,51.206,44.498,30.774,15.003,47.226,49.653,31.207,51.108,26.196,59.08,66.981,36.018,3.35E-05,57.615,34.729,50.372,47.835,55.091,35.192,24.143,60.609,52.902,55.029,46.678,35.069,49.486,54.26,48.841,35.911,1:00
51.127,35.232,45.678,29.182,45.199,38.256,19.834,51.795,48.501,37.529,8.2714,47.168,49.731,46.466,55.592,30.805,39.016,70.304,50.26,22.673,53.429,0.50132,46.857,53.227,57.995,10.803,39.715,66.194,47.682,68.708,58.492,9.61E-12,52.451,55.241,51.631,61.572,2:00
46.987,45.036,35.891,55.76,54.742,8.7483,39.923,49.455,46.599,19.111,18.682,42.832,53.321,52.89,48.447,27.071,52.42,50.101,31.217,31.723,54.391,11.464,48.883,52.726,59.507,23.287,29.114,66.855,54.564,51.249,36.5,35.026,51.704,66.283,45.891,43.09,3:00
41.296,41.239,46.445,56.467,53.527,4.0881,36.178,40.189,29.352,35.052,21.539,53.071,43.34,42.857,32.742,38.624,68.093,65.193,42.077,29.427,55.847,12.197,40.595,47.032,60.253,25.789,17.307,67.536,55.819,57.756,51.043,45.692,56.896,65.285,34.086,36.196,4:00
49.698,45.97,36.788,55.829,45.327,11.46,49.353,58.577,33.299,1.91E-09,25.159,49.892,63.67,42.651,48.246,33.412,68.705,69.4,49.503,0.058834,57.706,25.104,46.22,51.865,70.941,1.9408,33.731,73.441,70.418,60.723,60.787,35.002,49.044,65.022,46.288,50.901,5:00
47.784,49.96,45.84,55.037,56.202,37.695,56.575,70.756,8.7187,34,28.313,67.029,51.865,64.585,55.477,39.903,72.618,65.592,59.367,18.359,64.867,16.433,51.853,58.46,81.151,8.4416,36.961,86.279,65.067,86.077,77.094,8.8703,63.452,64.909,72.365,64.242,6:00
61.358,84.665,80.605,67.029,76.515,53.468,83.236,104.61,5.396,56.2,45.423,103.38,108.09,108.66,95.563,52.637,89.165,118.19,90.282,43.635,104.93,7.7864,76.597,91.511,130.31,0.14094,76.127,136.14,99.907,139.36,96.114,96.867,133.32,116.54,120.04,117.26,7:00
110.85,139.2,112.5,155.83,145.35,110.76,96.92,149.43,89.637,0.23285,115.09,172.43,142.72,167.84,147.71,98.444,147.38,210.47,127.03,21.378,150.69,74.73,125.98,133.68,171.21,191.52,68.027,175.83,147.63,193.15,239.37,2.93E-05,231.65,251.44,177.67,244.9,8:00
136.14,150.09,112.08,134.16,134.22,56.457,138.72,120.92,146.07,1.17E-10,75.802,140.6,131.23,166.74,159.81,83.695,167.43,193.69,143.01,7.6473,155,67.857,124.2,138.14,198.61,0.00093902,110.8,210,176.54,232.76,199.26,114.36,203.7,262.91,183.88,173.19,9:00
