Load 1,Load 2,Load 3,Load 4,Load 5,Load 6,Load 7,Load 8,Load 9,Load 10,Load 11,Load 12,Load 13,Load 14,Load 15,Load 16,Load 17,Load 18,Load 19,Load 20,Load 21,Load 22,Load 23,Load 24,Load 25,Load 26,Load 27,Load 28,Load 29,Load 30,Load 31,Load 32,Load 33,Load 34,Load 35,Load 36,Time
43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,43.111,0:00
42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,42.455,1:00
41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,41.97,2:00
42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,42.535,3:00
42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,42.64,4:00
42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,42.016,5:00
61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,61.199,6:00
140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,140.53,7:00
218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,218.91,8:00
217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,217.34,9:00
